Car_Brand,Car_Name,Year,Mileage_kmpl,Fuel_Type,Transmission,Engine_CC,Horsepower_HP,Battery_Capacity_kWh,Performance_Score,Total_Kilometres,Total_Seats,Car_Price_INR,Selling_Price
Nissan,Kicks,2024,29.64,Petrol,Manual,1500,148.8,0.0,7.4,181274,5,3230441,2994760
BMW,3 Series,2004,27.57,CNG,Automatic,1100,125.1,0.0,6.5,150202,5,630122,126024
Hyundai,i10,2002,18.6,CNG,Manual,3900,293.2,0.0,5.3,13967,7,1284807,256961
Ford,Figo,2020,17.02,Diesel,Automatic,1100,107.0,0.0,5.2,154775,6,3563635,2660670
Hyundai,Verna,2022,26.02,Petrol,Manual,1100,95.0,0.0,9.7,111180,4,2469385,2080221
Toyota,Yaris,2010,21.22,Petrol,Automatic,1000,113.8,0.0,7.3,48610,5,461507,92301
Ford,Figo,2021,18.01,CNG,Automatic,3900,282.6,0.0,5.9,160937,6,3488578,2454851
Maruti,Alto,2015,25.43,CNG,Manual,2400,191.2,0.0,8.7,85505,6,2293907,499649
Nissan,Sunny,2014,19.5,CNG,Automatic,4000,308.7,0.0,8.5,53531,7,1885999,1176636
Skoda,Kushaq,2006,11.7,Hybrid,Automatic,1600,151.5,43.9,6.2,165552,4,1313851,262770
Ford,Ecosport,2011,11.72,Electric,Automatic,1500,141.6,79.5,7.3,134172,7,3034923,1754047
Nissan,Magnite,2025,29.22,CNG,Automatic,2700,222.2,0.0,8.0,12976,5,2139619,2139619
Mahindra,XUV700,2020,20.6,CNG,Manual,1700,163.5,0.0,8.7,60371,4,962923,720856
Mercedes,GLA,2008,23.97,Diesel,Manual,1200,136.3,0.0,8.6,31771,5,2296640,459328
Renault,Triber,2004,18.81,CNG,Automatic,1800,145.6,0.0,6.9,105553,6,1811713,362342
Mahindra,XUV700,2009,11.16,Electric,Automatic,2600,221.6,58.4,9.8,163889,6,2841053,954294
Tata,Altroz,2015,10.18,CNG,Automatic,2400,207.3,0.0,6.0,124633,7,1537046,941943
Kia,Sonet,2013,18.82,Hybrid,Manual,2500,201.8,55.8,8.8,76694,4,2005411,546377
Mercedes,GLA,2022,11.16,Diesel,Manual,1600,159.5,0.0,7.7,103056,7,1689278,1531670
Honda,Jazz,2012,25.9,Petrol,Automatic,3600,298.5,0.0,7.7,86678,7,1214090,449409
Mahindra,XUV700,2023,26.49,CNG,Manual,1300,140.8,0.0,5.3,89797,6,2122359,1933935
BMW,3 Series,2005,28.25,Hybrid,Manual,1800,152.1,68.7,9.1,132141,7,2314418,901954
Honda,Amaze,2006,18.37,Hybrid,Automatic,2100,198.5,53.0,9.3,55512,7,3455699,691139
Skoda,Kushaq,2007,25.85,Electric,Automatic,1500,131.3,74.7,6.5,106318,4,1205188,360429
Skoda,Rapid,2020,26.44,Hybrid,Automatic,3800,309.5,53.3,8.7,23188,4,1049244,673360
Ford,Ecosport,2024,23.43,Hybrid,Automatic,3800,299.1,61.5,5.7,77935,5,3226118,3053060
MG,Gloster,2004,25.72,Electric,Manual,3000,238.2,80.0,5.0,100019,4,2238417,447683
Kia,Seltos,2023,12.01,Petrol,Automatic,1200,105.9,0.0,9.4,163791,4,3754031,3359220
Toyota,Fortuner,2016,24.86,Electric,Manual,2000,165.8,35.0,6.4,180034,6,2494259,1310108
BMW,5 Series,2011,23.59,CNG,Automatic,1500,156.3,0.0,6.7,195408,5,2675323,535064
Tata,Tiago,2025,20.13,Petrol,Automatic,3600,295.1,0.0,9.3,146384,4,980631,980631
Toyota,Glanza,2015,24.01,Diesel,Manual,3400,271.5,0.0,6.4,27719,5,1594192,396586
Hyundai,Creta,2010,27.8,Hybrid,Automatic,3200,248.3,44.9,7.4,81518,7,3884172,776834
MG,Astor,2006,13.77,Electric,Automatic,2500,207.9,70.5,8.8,193025,4,783009,156601
Hyundai,Verna,2005,23.1,Hybrid,Manual,1400,148.6,34.8,10.0,106402,7,640560,128112
Kia,Carens,2004,18.51,CNG,Automatic,2400,218.2,0.0,8.0,45673,4,3489031,697806
Tata,Tiago,2001,12.68,Hybrid,Manual,3700,279.2,47.8,9.5,74438,6,1799054,359810
Skoda,Slavia,2025,12.49,CNG,Automatic,2300,179.0,0.0,9.3,108193,7,1720049,1720049
Maruti,Baleno,2016,17.5,Hybrid,Automatic,1900,154.9,64.1,9.1,184118,7,2197674,799128
BMW,5 Series,2022,29.0,Diesel,Manual,3100,237.5,0.0,8.1,93941,4,3096775,2784739
Mahindra,Thar,2024,24.17,Hybrid,Manual,2500,211.2,30.1,6.3,40087,5,2458735,2328445
Mercedes,GLA,2006,17.03,CNG,Manual,900,93.9,0.0,9.3,16480,5,922461,311753
Tata,Nexon,2001,15.17,Petrol,Automatic,3200,265.7,0.0,6.1,85069,7,3470789,694157
